address,ip,port,protocol,anonymity,latency,ssl_supported,verified_exit,country_code,country_name,hosting,as_name,org,target_ok,target_latency
43.162.113.87:2080,43.162.113.87,2080,socks5,elite,0.037,True,False,US,United States,datacenter,"AS132203 Tencent Building, Kejizhongyi Avenue","Tencent Cloud Computing (Beijing) Co., Ltd",False,0.0
18.145.194.21:10800,18.145.194.21,10800,socks5,elite,0.042,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:58746,54.67.77.88,58746,socks5,elite,0.061,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.145.194.21:36267,18.145.194.21,36267,socks5,elite,0.066,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
44.200.234.67:52783,44.200.234.67,52783,socks5,elite,0.263,True,False,US,United States,datacenter,"AS14618 Amazon.com, Inc.",AWS EC2 (us-east-1),False,0.0
44.200.234.67:29269,44.200.234.67,29269,socks5,elite,0.263,True,False,US,United States,datacenter,"AS14618 Amazon.com, Inc.",AWS EC2 (us-east-1),False,0.0
44.200.234.67:57314,44.200.234.67,57314,socks5,elite,0.263,True,False,US,United States,datacenter,"AS14618 Amazon.com, Inc.",AWS EC2 (us-east-1),False,0.0
18.144.86.139:25565,18.144.86.139,25565,socks5,elite,0.084,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.144.86.139:23337,18.144.86.139,23337,socks5,elite,0.064,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.145.194.21:14547,18.145.194.21,14547,socks5,elite,0.064,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.145.194.21:16906,18.145.194.21,16906,socks5,elite,0.066,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.144.86.139:36221,18.144.86.139,36221,socks5,elite,0.06,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:2695,54.67.77.88,2695,socks5,elite,0.065,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:10516,54.67.77.88,10516,socks5,elite,0.064,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:59074,54.67.77.88,59074,socks5,elite,0.07,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.144.86.139:26942,18.144.86.139,26942,socks5,elite,0.065,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.144.86.139:5137,18.144.86.139,5137,socks5,elite,0.071,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:1090,54.67.77.88,1090,socks5,elite,0.064,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:18001,54.67.77.88,18001,socks5,elite,0.066,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.77.88:56935,54.67.77.88,56935,socks5,elite,0.065,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.110.244:29259,54.67.110.244,29259,socks5,elite,0.06,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.110.244:9145,54.67.110.244,9145,socks5,elite,0.063,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
54.67.110.244:8001,54.67.110.244,8001,socks5,elite,0.064,True,False,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
18.144.86.139:27211,18.144.86.139,27211,socks5,elite,0.064,True,True,US,United States,datacenter,"AS16509 Amazon.com, Inc.",AWS EC2 (us-west-1),False,0.0
